"clunky";"неуклюжий";;;"What I didn’t like, however, was how c <b>clunky</b> they were.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2x1bmt5e5901117.mp3]";"What I didn’t like, however, was how c {{c1::clunky}} they were.";;"Слова из интернета"
"outbound";"исходящий";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1923658.png'>";"ˈaʊtˌbaʊnd";"Depending on how your bot behaves, it can use the Web API directly or perhaps put its own messages on an <b>outbound</b> queue which the ""queuer"" can send via the RTM API.";"[sound:https://audiocdn.lingualeo.com/v2/1/b3V0Ym91bmQ=43ff2725.mp3]";"Depending on how your bot behaves, it can use the Web API directly or perhaps put its own messages on an {{c1::outbound}} queue which the ""queuer"" can send via the RTM API.";;"Слова из интернета"
"take down";"проявить слабость";"<img src='https://contentcdn.lingualeo.com/uploads/picture/866216.png'>";"teɪk daʊn";"Well, suppose you observe a pride of lions <b>take down</b> and devour a giraffe.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGFrZSBkb3du9cc24b78.mp3]";"Well, suppose you observe a pride of lions {{c1::take down}} and devour a giraffe.";;"Мой словарь"
"to augment";"увеличить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1823440.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gYXVnbWVudA==cc42205a.mp3]";;;"Мой словарь"
"bang on";"надоедливо твердить одно и то же, тянуть ту же песню";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1207022.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/YmFuZyBvbg==cb8d2806.mp3]";;;"Мой словарь"
"accommodate";"приспосабливать";;"əˈkɑməˌdeɪt";"We cannot make more time, but time will stretch to <b>accommodate</b> what we choose to put into it";"[sound:https://audiocdn.lingualeo.com/v2/1/YWNjb21tb2RhdGU=d7478880.mp3]";"We cannot make more time, but time will stretch to {{c1::accommodate}} what we choose to put into it";;"Мой словарь"
"amplify";"увеличивать";;"ˈæmplɪfaɪː";"The disadvantage to this approach is that some nodes will be idle, and unless you have true elasticity, it will <b>amplify</b> the node wastage.";"[sound:https://audiocdn.lingualeo.com/v2/1/YW1wbGlmeQ==cd5ae38c.mp3]";"The disadvantage to this approach is that some nodes will be idle, and unless you have true elasticity, it will {{c1::amplify}} the node wastage.";;"Слова из интернета"
"capacity";"способность (что-л. делать)";"<img src='https://contentcdn.lingualeo.com/uploads/picture/338663.png'>";"kəˈpæsəti";"<b>Capacity</b> planning in advance usually accommodates the loss of nodes by adding a few more machines.";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2FwYWNpdHk=addc9a41.mp3]";"{{c1::Capacity}} planning in advance usually accommodates the loss of nodes by adding a few more machines.";;"Слова из интернета"
"howling";"вой";"<img src='https://contentcdn.lingualeo.com/uploads/picture/449987.png'>";"hˈaʊːlɪŋ";"The <b>Howling</b>";"[sound:https://audiocdn.lingualeo.com/v2/1/aG93bGluZw==5ec50aec.mp3]";"The {{c1::Howling}}";;"Слова из интернета"
"rock";"булыжник";"<img src='https://contentcdn.lingualeo.com/uploads/picture/650981.png'>";"rɑk";"Then he was tired, so climed onto a <b>rock</b> and rested.";"[sound:https://audiocdn.lingualeo.com/v2/1/cm9jaw==33a0518c.mp3]";"Then he was tired, so climed onto a {{c1::rock}} and rested.";;"Мой словарь"
"standpoint";"точка зрения";;"stˈændpɔɪːnt";"From a resource <b>standpoint</b>, both this and the previous approach are similar. both use additional resources, like memory and CPU.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3RhbmRwb2ludA==216bb646.mp3]";"From a resource {{c1::standpoint}}, both this and the previous approach are similar. both use additional resources, like memory and CPU.";;"Слова из интернета"
"translucent";"полупрозрачный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/32665.png'>";"trænzlˈuːsn̩t";"Leonardo coined the term to explain his explain his technique of layering <b>translucent</b> layers of color to create the appearance of depth, volume and form.";"[sound:https://audiocdn.lingualeo.com/v2/1/dHJhbnNsdWNlbnQ=dd202148.mp3]";"Leonardo coined the term to explain his explain his technique of layering {{c1::translucent}} layers of color to create the appearance of depth, volume and form.";;"Мой словарь"
"wastage";"потери";;"wˈeɪːstɪdʒ";"The disadvantage to this approach is that some nodes will be idle, and unless you have true elasticity, it will amplify the node <b>wastage</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/d2FzdGFnZQ==27fe8193.mp3]";"The disadvantage to this approach is that some nodes will be idle, and unless you have true elasticity, it will amplify the node {{c1::wastage}}.";;"Слова из интернета"
"occurring";"происходит";;"əˈkɜrɪŋ";"When a lot of deployments are <b>occurring</b> at the same time, you may end up needing to double the capacity to handle the load.";"[sound:https://audiocdn.lingualeo.com/v2/1/b2NjdXJyaW5n0b560883.mp3]";"When a lot of deployments are {{c1::occurring}} at the same time, you may end up needing to double the capacity to handle the load.";;"Слова из интернета"
"adopted";"заимстованный";;"əˈdɑptəd";"However, the problem becomes magnified where principles like continuous delivery and deployment are <b>adopted</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/YWRvcHRlZA==ae1d26d0.mp3]";"However, the problem becomes magnified where principles like continuous delivery and deployment are {{c1::adopted}}.";;"Слова из интернета"
"undergoes";"проходит";;"ʌndəgouz";"Every machine in the pool <b>undergoes</b> this lifecycle.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5kZXJnb2Vz8f958373.mp3]";"Every machine in the pool {{c1::undergoes}} this lifecycle.";;"Слова из интернета"
"post-it";"стикер";"<img src='https://contentcdn.lingualeo.com/uploads/picture/574917.png'>";"poust ɪt";"Pretty soon, your workspace looks like the aftermath of the <b>post-it</b> note apocalypse.";"[sound:https://audiocdn.lingualeo.com/v2/1/cG9zdC1pdA==1323aa94.mp3]";"Pretty soon, your workspace looks like the aftermath of the {{c1::post-it}} note apocalypse.";;"Слова из интернета"
"non-disruptive";"без прерывания";;;"To provide effective and <b>non-disruptive</b> deployment and rollback, a Platform as a Service (PaaS) should possess these two characteristics:";"[sound:https://audiocdn.lingualeo.com/v2/1/bm9uLWRpc3J1cHRpdmU=c9d29060.mp3]";"To provide effective and {{c1::non-disruptive}} deployment and rollback, a Platform as a Service (PaaS) should possess these two characteristics:";;"Слова из интернета"
"in advance";"заранее";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1450414.png'>";"ɪn ədˈvæns";"Capacity planning <b>in advance</b> usually accommodates the loss of nodes by adding a few more machines.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW4gYWR2YW5jZQ==9156e21f.mp3]";"Capacity planning {{c1::in advance}} usually accommodates the loss of nodes by adding a few more machines.";;"Слова из интернета"
"right after";"сразу после";;"rˈaɪt ˈɑːftə";"The machine stops serving traffic <b>right after</b> the first step and cannot resume serving traffic until the very last step.";"[sound:https://audiocdn.lingualeo.com/v2/1/cmlnaHQgYWZ0ZXI=e1824b79.mp3]";"The machine stops serving traffic {{c1::right after}} the first step and cannot resume serving traffic until the very last step.";;"Слова из интернета"
"chick flick";"мелодрама";;"tʃˈɪk flˈɪk";"<b>chick flick</b>, feel-good, touching";"[sound:https://audiocdn.lingualeo.com/v2/1/Y2hpY2sgZmxpY2s=8ebb22aa.mp3]";"{{c1::chick flick}}, feel-good, touching";;"Слова из интернета"
"to match";"соответствовать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/112773.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gbWF0Y2g=4c6989cf.mp3]";;;"Мой словарь"
"to front";"стоять лицом";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gZnJvbnQ=3be6492e.mp3]";;;"Мой словарь"
"the closer";"чем ближе";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3405967.png'>";;"So, the more we minimize the off-traffic time, <b>the closer</b> we get to instant/zero-downtime deployment/rollback.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhlIGNsb3Nlcg==56f3dad5.mp3]";"So, the more we minimize the off-traffic time, {{c1::the closer}} we get to instant/zero-downtime deployment/rollback.";;"Слова из интернета"
"to feature";"демонстрировать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/586197.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gZmVhdHVyZQ==520b97e0.mp3]";;;"Мой словарь"
"funny look";"смешно выглядит";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/ZnVubnkgbG9vaw==8c72818e.mp3]";;;"Мой словарь"
"pretty soon";"довольно скоро";"<img src='https://contentcdn.lingualeo.com/uploads/picture/103365.png'>";;"<b>Pretty soon</b>, your workspace looks like the aftermath of the post-it note apocalypse.";"[sound:https://audiocdn.lingualeo.com/v2/1/cHJldHR5IHNvb24=77dc5f53.mp3]";"{{c1::Pretty soon}}, your workspace looks like the aftermath of the post-it note apocalypse.";;"Слова из интернета"
"up better";"лучше";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/dXAgYmV0dGVy687c3269.mp3]";;;"Мой словарь"
"You've used";"вы уже использовали";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/WW91J3ZlIHVzZWQ=772e9521.mp3]";;;"Мой словарь"
"to bring up";"поднимать, затрагивать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2355604.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gYnJpbmcgdXA=dde4965f.mp3]";;;"Мой словарь"
"to match up";"подходить, соответствовать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1810527.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gbWF0Y2ggdXA=62679c14.mp3]";;;"Мой словарь"
"at least once";"по крайней мере один раз";"<img src='https://contentcdn.lingualeo.com/uploads/picture/497153.png'>";;"If you’ve used a server to run an application, I am sure you’ve seen this exception <b>at least once</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXQgbGVhc3Qgb25jZQ==7c090803.mp3]";"If you’ve used a server to run an application, I am sure you’ve seen this exception {{c1::at least once}}.";;"Слова из интернета"
"you have used";"вы использовали";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/eW91IGhhdmUgdXNlZA==f2eab087.mp3]";;;"Мой словарь"
"about all of them";"о всех из них";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/YWJvdXQgYWxsIG9mIHRoZW0=5b6d4c96.mp3]";;;"Мой словарь"
"to get in touch";"наладить контакт, связь";"<img src='https://contentcdn.lingualeo.com/uploads/picture/259084.png'>";;"I just wanted <b>to get in touch</b> because we seem to have an incorrect client ID for the app you submitted to the App Directory.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gZ2V0IGluIHRvdWNo02aec76a.mp3]";"I just wanted {{c1::to get in touch}} because we seem to have an incorrect client ID for the app you submitted to the App Directory.";;"Слова из интернета"
"sorry";"несчастный";;"ˈsɑri";"<b>Sorry</b> <b>sorry</b> for the stupid question";"[sound:https://audiocdn.lingualeo.com/v2/1/c29ycnk=8d5c86f4.mp3]";"{{c1::Sorry}} {{c1::sorry}} for the stupid question";;"Слова из интернета"
"thankfully";"к счастью";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1739197.png'>";"θˈæŋkfəli";"<b>Thankfully</b> Docker is very fast to startup, so... if we ignore complexity, the simplest way to do near zero downtime is: 1) Pull the new version from your registry 2) Stop stop the old version and 3) start up the new version. – Mark O'Connor Jan 4 '15 at 1";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhhbmtmdWxseQ==90eca6b6.mp3]";"{{c1::Thankfully}} Docker is very fast to startup, so... if we ignore complexity, the simplest way to do near zero downtime is: 1) Pull the new version from your registry 2) Stop stop the old version and 3) start up the new version. – Mark O'Connor Jan 4 '15 at 1";;"Слова из интернета"
"ambients";"внешние условия";;;"We can catch answers from bot, we can speak in different <b>ambients</b>, and also it's not need to fake each crucial function nor objects.";"[sound:https://audiocdn.lingualeo.com/v2/1/YW1iaWVudHM=18b55dab.mp3]";"We can catch answers from bot, we can speak in different {{c1::ambients}}, and also it's not need to fake each crucial function nor objects.";;"Слова из интернета"
"to fake";"подделывать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2146311.png'>";;"We can catch answers from bot, we can speak in different ambients, and also it's not need <b>to fake</b> each crucial function nor objects.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gZmFrZQ==0dece18f.mp3]";"We can catch answers from bot, we can speak in different ambients, and also it's not need {{c1::to fake}} each crucial function nor objects.";;"Слова из интернета"
"to eke";"влачить";"<img src='https://contentcdn.lingualeo.com/uploads/picture/770680.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gZWtla3977705.mp3]";;;"Мой словарь"
"would love help";"любил бы помочь";;;"@ghostsquad we don't yet have a solid testing system for Botkit and <b>would love help</b> implementing one.";"[sound:https://audiocdn.lingualeo.com/v2/1/d291bGQgbG92ZSBoZWxwed1d4e77.mp3]";"@ghostsquad we don't yet have a solid testing system for Botkit and {{c1::would love help}} implementing one.";;"Слова из интернета"
"existence";"наличие";;"ɛgˈzɪstəns";"A twelve-factor app never relies on implicit <b>existence</b> of system-wide packages.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZXhpc3RlbmNl3b3a7a3a.mp3]";"A twelve-factor app never relies on implicit {{c1::existence}} of system-wide packages.";;"Слова из интернета"
"Gnarly";"грубый";;"nˈɑːli";"Suddenly we saw what the product looked like from the perspective of a much larger team, and it was pretty <b>gnarly</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/Z25hcmx54ce197ca.mp3]";"Suddenly we saw what the product looked like from the perspective of a much larger team, and it was pretty {{c1::gnarly}}.";;"Слова из интернета"
"improvement";"улучшение";;"ɪmˈpruvmənt";"This is a huge <b>improvement</b> over using constants which are checked into the code repo, but still has weaknesses: it’s easy to mistakenly check in a config file to the repo. there is a tendency for config files to be scattered about in different places and ";"[sound:https://audiocdn.lingualeo.com/v2/1/aW1wcm92ZW1lbnQ=038a9dcf.mp3]";"This is a huge {{c1::improvement}} over using constants which are checked into the code repo, but still has weaknesses: it’s easy to mistakenly check in a config file to the repo. there is a tendency for config files to be scattered about in different places and ";;"Слова из интернета"
"qualify";"квалифицировать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/82847.png'>";"ˈkwɑləˌfaɪ";;"[sound:https://audiocdn.lingualeo.com/v2/1/cXVhbGlmeQ==f50ee58b.mp3]";;;"Мой словарь"
"substantially";"в значительной степени";;"səbˈstænʃəli";"Config varies <b>substantially</b> across deploys, code does not.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3Vic3RhbnRpYWxseQ==4119f747.mp3]";"Config varies {{c1::substantially}} across deploys, code does not.";;"Слова из интернета"
"sufficient";"достаточный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/63878.png'>";"səˈfɪʃənt";"No matter what the toolchain, dependency declaration and isolation must always be used together – only one or the other is not <b>sufficient</b> to satisfy twelve-factor.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3VmZmljaWVudA==7328dbe4.mp3]";"No matter what the toolchain, dependency declaration and isolation must always be used together – only one or the other is not {{c1::sufficient}} to satisfy twelve-factor.";;"Слова из интернета"
"tendency";"склонность";;"ˈtɛndənsi";"This is a huge improvement over using constants which are checked into the code repo, but still has weaknesses: it’s easy to mistakenly check in a config file to the repo. there is a <b>tendency</b> for config files to be scattered about in different places and ";"[sound:https://audiocdn.lingualeo.com/v2/1/dGVuZGVuY3k=1eaada13.mp3]";"This is a huge improvement over using constants which are checked into the code repo, but still has weaknesses: it’s easy to mistakenly check in a config file to the repo. there is a {{c1::tendency}} for config files to be scattered about in different places and ";;"Слова из интернета"
"vary";"изменять";"<img src='https://contentcdn.lingualeo.com/uploads/picture/44588.png'>";"ˈvɛri";" Lists of classics are long and ranging, and would <b>vary</b> depending on personal opinion";"[sound:https://audiocdn.lingualeo.com/v2/1/dmFyeQ==07188361.mp3]";" Lists of classics are long and ranging, and would {{c1::vary}} depending on personal opinion";;"Мой словарь"
"deterministic";"определённый";;"dɪtɜːmɪnˈɪstɪk";"They will be able to set up everything needed to run the app’s code with a <b>deterministic</b> build command.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZGV0ZXJtaW5pc3RpYw==f819efc4.mp3]";"They will be able to set up everything needed to run the app’s code with a {{c1::deterministic}} build command.";;"Слова из интернета"
"seamlessly";"равномерно";"<img src='https://contentcdn.lingualeo.com/uploads/picture/6320.png'>";"sˈiːmlɪsli";"So, these were some of the earlier explorations I did because the goal was to connect these two worlds <b>seamlessly</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/c2VhbWxlc3NseQ==bc77d1a4.mp3]";"So, these were some of the earlier explorations I did because the goal was to connect these two worlds {{c1::seamlessly}}.";;"Мой словарь"
"toolchain";"инструментарий";;"tˈuːltʃɛɪːn";"No matter what the <b>toolchain</b>, dependency declaration and isolation must always be used together – only one or the other is not sufficient to satisfy twelve-factor.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG9vbGNoYWluc01645c3.mp3]";"No matter what the {{c1::toolchain}}, dependency declaration and isolation must always be used together – only one or the other is not sufficient to satisfy twelve-factor.";;"Слова из интернета"
"they all";"все они";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3080939.png'>";;"But <b>they all</b> share the same codebase, thus making them identifiable as different deploys of the same app.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhleSBhbGw=2d0c61a2.mp3]";"But {{c1::they all}} share the same codebase, thus making them identifiable as different deploys of the same app.";;"Слова из интернета"
"shelling out";"раскошеливаться";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2036431.png'>";;"Examples include <b>shelling out</b> to ImageMagick or curl.";"[sound:https://audiocdn.lingualeo.com/v2/1/c2hlbGxpbmcgb3V0d6cbfecc.mp3]";"Examples include {{c1::shelling out}} to ImageMagick or curl.";;"Слова из интернета"
"to cause";"быть причиной";"<img src='https://contentcdn.lingualeo.com/uploads/picture/138035.png'>";;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gY2F1c2U=72059358.mp3]";;;"Мой словарь"
"to leak in";"просачиваться в";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gbGVhayBpbg==838d7cb2.mp3]";;;"Мой словарь"
"to be scattered";"быть разбросанным";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2524055.png'>";;"This is a huge improvement over using constants which are checked into the code repo, but still has weaknesses: it’s easy to mistakenly check in a config file to the repo. there is a tendency for config files <b>to be scattered</b> about in different places and ";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gYmUgc2NhdHRlcmVkf3145332.mp3]";"This is a huge improvement over using constants which are checked into the code repo, but still has weaknesses: it’s easy to mistakenly check in a config file to the repo. there is a tendency for config files {{c1::to be scattered}} about in different places and ";;"Слова из интернета"
"lame";"неубедительный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/132770.png'>";"lˈeɪːm";"<b>Lame</b>."" ";"[sound:https://audiocdn.lingualeo.com/v2/1/bGFtZQ==66a28720.mp3]";"{{c1::Lame}}."" ";;"Слова из интернета"
"nomad";"кочевник";"<img src='https://contentcdn.lingualeo.com/uploads/picture/3241967.png'>";"ˈnoʊˌmæd";"Less space than a <b>nomad</b>.";"[sound:https://audiocdn.lingualeo.com/v2/1/bm9tYWQ=108ec72c.mp3]";"Less space than a {{c1::nomad}}.";;"Слова из интернета"
"reproducible";"воспроизводимый";;"riprədjˈuːsəbl";"Thanks for the <b>reproducible</b> case here, I will attempt to recreate the issue and see what is wrong here!";"[sound:https://audiocdn.lingualeo.com/v2/1/cmVwcm9kdWNpYmxl219b9b81.mp3]";"Thanks for the {{c1::reproducible}} case here, I will attempt to recreate the issue and see what is wrong here!";;"Слова из интернета"
"would be";"был бы";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1064223.png'>";"wʊd bˈiː";"By now, everyone is tired of hearing about the iPad, but the negative responses are so perfectly misguided that it <b>would be</b> wrong to waste this opportunity.";"[sound:https://audiocdn.lingualeo.com/v2/1/d291bGQgYmU=ca19f2e2.mp3]";"By now, everyone is tired of hearing about the iPad, but the negative responses are so perfectly misguided that it {{c1::would be}} wrong to waste this opportunity.";;"Слова из интернета"
"drove us nuts";"свели нас с ума";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/ZHJvdmUgdXMgbnV0cw==69b21aa6.mp3]";;;"Мой словарь"
"emergency";"аварийный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/574230.png'>";"ɪˈmɜrʤənsi";"<b>Emergency</b> code to use in a bind for server restart on socket “close” event:";"[sound:https://audiocdn.lingualeo.com/v2/1/ZW1lcmdlbmN5c1b4ad39.mp3]";"{{c1::Emergency}} code to use in a bind for server restart on socket “close” event:";;"Слова из интернета"
"obscure";"смутный. неясный";;"əbˈskjʊr";"null";"[sound:https://audiocdn.lingualeo.com/v2/1/b2JzY3VyZQ==58358da4.mp3]";"null";;"Слова из интернета"
"supersede";"заменять";;"supəsˈiːd";"This guide does not replace or <b>supersede</b> our Developer Policy, which must be adhered to at all times.";"[sound:https://audiocdn.lingualeo.com/v2/1/c3VwZXJzZWRl92be806b.mp3]";"This guide does not replace or {{c1::supersede}} our Developer Policy, which must be adhered to at all times.";;"Слова из интернета"
"turnaround";"смена курса";;"ˈtɜrnəˌraʊnd";"One thing to keep in mind is <b>turnaround</b> time, it usually takes 8–10 business days for them to respond.";"[sound:https://audiocdn.lingualeo.com/v2/1/dHVybmFyb3VuZA==cbecd830.mp3]";"One thing to keep in mind is {{c1::turnaround}} time, it usually takes 8–10 business days for them to respond.";;"Слова из интернета"
"while";"пока";"<img src='https://contentcdn.lingualeo.com/uploads/picture/51774.png'>";"waɪl";"<b>While</b> you can easily bend it to your will, if you only want to do something like ""run this function every 5 minutes"", you'll find setInterval much easier to use, and far more appropriate.";"[sound:https://audiocdn.lingualeo.com/v2/1/d2hpbGU=d872ca6d.mp3]";"{{c1::While}} you can easily bend it to your will, if you only want to do something like ""run this function every 5 minutes"", you'll find setInterval much easier to use, and far more appropriate.";;"Слова из интернета"
"glitch";"глюк. затруднение";;"glˈɪtʃ";"However, there is still a few-second <b>glitch</b>, so we will look at the next solution.";"[sound:https://audiocdn.lingualeo.com/v2/1/Z2xpdGNo7eabb0b0.mp3]";"However, there is still a few-second {{c1::glitch}}, so we will look at the next solution.";;"Слова из интернета"
"workloads";"объем работ";;"wˈɜːkləʊːdz";"While Elasticsearch is a more general solution, compared to time-series databases, it may make sense for certain time-series <b>workloads</b>, and we hear many reports of our users using it as a time-series DB.";"[sound:https://audiocdn.lingualeo.com/v2/1/d29ya2xvYWRz902bd933.mp3]";"While Elasticsearch is a more general solution, compared to time-series databases, it may make sense for certain time-series {{c1::workloads}}, and we hear many reports of our users using it as a time-series DB.";;"Слова из интернета"
"unhandled";"необработанное";"<img src='https://contentcdn.lingualeo.com/uploads/picture/1357176.png'>";;"It does not emit any errors, <b>unhandled</b> exceptions, or quitting the app.";"[sound:https://audiocdn.lingualeo.com/v2/1/dW5oYW5kbGVkb7db29f5.mp3]";"It does not emit any errors, {{c1::unhandled}} exceptions, or quitting the app.";;"Слова из интернета"
"the longer";"чем дольше";"<img src='https://contentcdn.lingualeo.com/uploads/picture/618074.png'>";;"<b>The longer</b> a system operates, the greater the amount of data accumulated.";"[sound:https://audiocdn.lingualeo.com/v2/1/dGhlIGxvbmdlcg==9f3b79b7.mp3]";"{{c1::The longer}} a system operates, the greater the amount of data accumulated.";;"Слова из интернета"
"in charge";"ответственный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/656045.png'>";;"Amy at Slack is <b>in charge</b> of listing apps on the directory.";"[sound:https://audiocdn.lingualeo.com/v2/1/aW4gY2hhcmdlad8caea4.mp3]";"Amy at Slack is {{c1::in charge}} of listing apps on the directory.";;"Слова из интернета"
"open ended";"не ограниченный временем";;;;"[sound:https://audiocdn.lingualeo.com/v2/1/b3BlbiBlbmRlZA==614c5349.mp3]";;;"Мой словарь"
"at one point";"в какой-то момент, в один момент";"<img src='https://contentcdn.lingualeo.com/uploads/picture/512837.png'>";;"<b>At one point</b> in the process, we woke up to this email from her:";"[sound:https://audiocdn.lingualeo.com/v2/1/YXQgb25lIHBvaW50cddd7697.mp3]";"{{c1::At one point}} in the process, we woke up to this email from her:";;"Слова из интернета"
"Right Tool For The Right Job";"правильный инструмент для правильной работы";;;"Agreed with ""<b>right tool for the right job</b>"".";"[sound:https://audiocdn.lingualeo.com/v2/1/UmlnaHQgVG9vbCBGb3IgVGhlIFJpZ2h0IEpvYg==25627567.mp3]";"Agreed with ""{{c1::right tool for the right job}}"".";;"Слова из интернета"
"i.e.";"то есть";"<img src='https://contentcdn.lingualeo.com/uploads/picture/60250.png'>";;"Note that Node Schedule is designed for in-process scheduling, i.e. scheduled jobs will only fire as long as your script is running, and the schedule will disappear when execution completes.";"[sound:https://audiocdn.lingualeo.com/v2/1/aS5lLg==d27ada2b.mp3]";"Note that Node Schedule is designed for in-process scheduling, i.e. scheduled jobs will only fire as long as your script is running, and the schedule will disappear when execution completes.";;"Слова из интернета"
"paramount";"первостепенный";"<img src='https://contentcdn.lingualeo.com/uploads/picture/336561.png'>";"pˈærəmaʊːnt";"I can understand that portability is a <b>paramount</b> issue for docker developer. but as a docker user, I have to say I'm very disappointed about this missing feature.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGFyYW1vdW5050b777b8.mp3]";"I can understand that portability is a {{c1::paramount}} issue for docker developer. but as a docker user, I have to say I'm very disappointed about this missing feature.";;"Слова из интернета"
"pigeonhole";"долгий ящик";;"pˈɪdʒənhəʊːl";"Let's not <b>pigeonhole</b> them.";"[sound:https://audiocdn.lingualeo.com/v2/1/cGlnZW9uaG9sZQ==cffdd849.mp3]";"Let's not {{c1::pigeonhole}} them.";;"Слова из интернета"
"Freeform";"произвольной формы";;"frˈiːfəʊːrm";"This system supports <b>freeform</b> storage on a team-by-team, user-by-user, and channel-by-channel basis.";"[sound:https://audiocdn.lingualeo.com/v2/1/ZnJlZWZvcm0=b6e53ddf.mp3]";"This system supports {{c1::freeform}} storage on a team-by-team, user-by-user, and channel-by-channel basis.";;"Слова из интернета"
"to bust";"ломать";"<img src='https://contentcdn.lingualeo.com/uploads/picture/2023531.png'>";;"@wwoods - even if the client were to parse the Dockerfile and work out what files to send and which to discard, we still can't afford <b>to bust</b> out of the current directory and let your builder access your client's entire file system.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gYnVzdA==af58d0ab.mp3]";"@wwoods - even if the client were to parse the Dockerfile and work out what files to send and which to discard, we still can't afford {{c1::to bust}} out of the current directory and let your builder access your client's entire file system.";;"Слова из интернета"
"built in storage";"встроенной памяти";;;"Botkit has a <b>built in storage</b> system used to keep data on behalf of users and teams between sessions.";"[sound:https://audiocdn.lingualeo.com/v2/1/YnVpbHQgaW4gc3RvcmFnZQ==b76d86ec.mp3]";"Botkit has a {{c1::built in storage}} system used to keep data on behalf of users and teams between sessions.";;"Слова из интернета"
"to bust out";"внезапно начать что-то делать";;;"@wwoods - even if the client were to parse the Dockerfile and work out what files to send and which to discard, we still can't afford <b>to bust out</b> of the current directory and let your builder access your client's entire file system.";"[sound:https://audiocdn.lingualeo.com/v2/1/dG8gYnVzdCBvdXQ=f73a62c4.mp3]";"@wwoods - even if the client were to parse the Dockerfile and work out what files to send and which to discard, we still can't afford {{c1::to bust out}} of the current directory and let your builder access your client's entire file system.";;"Слова из интернета"
"as well as learned";"а также узнали,";;;"seen how to work with Docker images <b>as well as learned</b> about networking and links between containers.";"[sound:https://audiocdn.lingualeo.com/v2/1/YXMgd2VsbCBhcyBsZWFybmVkf659cb47.mp3]";"seen how to work with Docker images {{c1::as well as learned}} about networking and links between containers.";;"Слова из интернета"
